assay.id,petri.id,year,month,company,farm,drug,date,rep,conc,time,stage,sex,prop.alive,prev.emb,live
1,21,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,62.5,0,both,male,1,0,1
1,21,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,62.5,0,both,male,1,0,1
1,21,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,62.5,0,both,male,1,0,1
1,21,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,62.5,0,both,male,1,0,1
1,21,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,62.5,0,both,male,1,0,1
1,21,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,62.5,0,both,male,1,0,1
1,21,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,62.5,0,both,male,1,0,1
1,22,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,125,0,both,male,0.7,0,1
1,22,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,125,0,both,male,0.7,0,1
1,22,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,125,0,both,male,0.7,0,1
1,22,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,125,0,both,male,0.7,0,1
1,22,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,125,0,both,male,0.7,0,1
1,22,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,125,0,both,male,0.7,0,1
1,22,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,125,0,both,male,0.7,0,1
1,22,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,125,0,both,male,0.7,0,0
1,22,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,125,0,both,male,0.7,0,0
1,22,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,125,0,both,male,0.7,0,0
1,23,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,250,0,both,male,0,0,0
1,23,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,250,0,both,male,0,0,0
1,23,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,250,0,both,male,0,0,0
1,23,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,250,0,both,male,0,0,0
1,23,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,250,0,both,male,0,0,0
1,23,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,250,0,both,male,0,0,0
1,23,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,250,0,both,male,0,0,0
1,23,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,250,0,both,male,0,0,0
1,23,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,250,0,both,male,0,0,0
1,23,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,250,0,both,male,0,0,0
1,24,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,500,0,both,male,0,0,0
1,24,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,500,0,both,male,0,0,0
1,24,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,500,0,both,male,0,0,0
1,24,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,500,0,both,male,0,0,0
1,24,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,500,0,both,male,0,0,0
1,24,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,500,0,both,male,0,0,0
1,24,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,500,0,both,male,0,0,0
1,24,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,500,0,both,male,0,0,0
1,24,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,500,0,both,male,0,0,0
1,24,2010,09,mowi,Wicklow Point,emb,2010-09-28,4,500,0,both,male,0,0,0
